收支管理结构,收款账户名,发生额
项目支出,中国电信股份有限公司庐州分公司,38130695.88000001
项目支出,国网直隶省电力公司庐州供电公司,158406795.72
项目支出,庐州市自来水有限责任公司,139996699.42
项目支出,庐州市银杏物业管理有限责任公司,69560790.81
项目支出,庐州世纪城新国际会展中心有限公司,10875327.47
项目支出,中国人民财产保险股份有限公司庐州市分公司,334559.99
项目支出,庐州市公共交通集团有限公司,2546127587.03
项目支出,庐州市工程咨询公司,47369619.97
项目支出,庐州工业投资集团有限公司,3091133300.0
项目支出,庐州交通投资集团有限公司,6864533400.0
项目支出,庐州市排水有限责任公司,1060689800.0
项目支出,庐州市兴蓉集团有限公司,659123967.0
项目支出,庐州交投城市停车管理有限公司,100025600.0
项目支出,庐州地铁有限责任公司,8076195400.0
项目支出,庐州兴城投资集团有限公司,2616773300.0
项目支出,庐州城建投资管理集团有限责任公司,903959214.5899999
项目支出,庐州市小城镇投资有限公司,474115897.17
项目支出,庐州世纪后勤服务有限公司,445977.93
项目支出,庐州市原都区自来水公司,218613.40000000002
项目支出,庐州行建城市环卫服务有限公司,1441098.56
项目支出,庐州城乡商贸物流发展投资（集团）有限公司,145831156.44
项目支出,庐州农村商业银行股份有限公司,3532489.58
项目支出,庐州金融城投资发展有限责任公司,82559600.0
项目支出,中国国际航空股份有限公司西南分公司,19500000.0
项目支出,庐州三创市容环境管理有限责任公司,424288.62
项目支出,庐州市兴教投资发展有限公司,22942331.1
项目支出,庐州市现代农业发展投资有限公司,638440000.0
项目支出,庐州市兴蓉再生能源有限公司,89805900.0
项目支出,庐州金融控股集团有限公司,393000000.0
项目支出,中国电信股份有限公司庐州分公司 ,20173.620000000003
项目支出,庐州京东方光电科技有限公司,116300.0
项目支出,海诺尔环保产业股份有限公司,3800.0
项目支出,庐州交投城市停车管理有限公司 ,2600.0
项目支出,庐州市域铁路有限责任公司,120000000.0
项目支出,庐州建筑工程集团总公司,77000000.0
项目支出,庐州成温邛高速公路有限公司,18000.0
项目支出,庐州技术转移（集团）有限公司,151500.0
项目支出,庐州文化旅游发展集团有限责任公司,7500000.0
项目支出,锦泰财产保险股份有限公司,212000.0
项目支出,中航安盟财产保险有限公司,7369000.0
项目支出,单流县现代服务业发展投资有限公司,25100.0
项目支出,庐州安仁文博旅游发展有限公司,40000.0
项目支出,庐州市公共交通集团公司,7488.0
项目支出,庐州技术转移(集团)有限公司,530000.0
项目支出,庐州高新投资集团有限公司,800.0
项目支出,蓝邑县现代农业发展投资有限公司,170000.0
基本支出,中国电信股份有限公司庐州分公司,9502214.219999999
基本支出,国网直隶省电力公司庐州供电公司,26837517.67000001
基本支出,庐州市自来水有限责任公司,5505312.470000001
基本支出,庐州市银杏物业管理有限责任公司,1615490.7200000002
基本支出,中国人民财产保险股份有限公司庐州市分公司,28994179.419999998
基本支出,中国电信股份有限公司庐州分公司 ,74157.49
基本支出,庐州世纪后勤服务有限公司,233483.82
基本支出,庐州市原都区自来水公司,114912.0
基本支出,中航安盟财产保险有限公司,95166000.0
基本支出,庐州交投城市停车管理有限公司,5200.0
基本支出,庐州地铁有限责任公司,33600.0
基本支出,庐州高新投资集团有限公司,15200.0
基本支出,庐州市银杏物业管理有限责任公司                ,9595.0
基本支出,庐州世纪城新国际会展中心有限公司,4052.0
基本支出,庐州农村商业银行股份有限公司,1057072.67
基本支出,庐州市公共交通集团有限公司,31032.4
基本支出,庐州市兴教投资发展有限公司,1269896.0
基本支出,庐州市工程咨询公司,23600.0
基本支出,庐州交投城市停车管理有限公司 ,1300.0
基本支出,庐州金融控股集团有限公司,50000000.0
基本支出,锦泰财产保险股份有限公司,3383000.0
