年度,核算级次,发生额
2015,市本级,30261269881.689983
2015,单流县,3646402854.95
2015,青牛区,1388702736.0300004
2015,高新区,8274550544.2
2015,金马区,4291986073.8699985
2015,冷江区,3342053772.6500006
2015,素江区,374317206.96
2015,排县,2890258857.809999
2015,拜州市,9598276621.32
2015,文侯区,3847852211.16
2015,白江区,1369976081.3600001
2015,都江市,1830508707.48
2015,成夏区,5694408131.310002
2015,银堂县,2048007553.53
2015,原都区,687731888.5
2015,龙泉区,3455265621.4799995
2015,蓝邑县,3659046703.6299996
2015,团江县,718245030.51
2015,江莱市,2098830475.1400003
2015,原津县,1203904141.71
2015,莱州市,1307890343.16
2014,市本级,25885291199.520004
2014,青牛区,1725113031.5600007
2014,单流县,3765281713.360001
2014,金马区,2512582270.3999996
2014,高新区,6330585522.770001
2014,文侯区,2594461753.95
2014,冷江区,2704805234.6
2014,白江区,1163307858.0
2014,龙泉区,4350857191.380001
2014,拜州市,5161292657.03
2014,排县,3212490262.96
2014,素江区,370614985.63
2014,都江市,368354622.01000005
2014,原都区,823611760.3200002
2014,银堂县,527168344.01
2014,成夏区,487625130.97
2014,团江县,821556685.9499998
2014,蓝邑县,1396116025.0
2014,莱州市,2187418153.63
2014,原津县,454479571.15999997
2014,江莱市,1528036600.62
2013,市本级,20386132173.08001
2013,青牛区,1300122134.4699998
2013,高新区,10078680931.85
2013,单流县,7632756130.93
2013,拜州市,4351532257.12
2013,文侯区,1164188534.4500003
2013,金马区,1129057830.0700002
2013,排县,2373734146.75
2013,白江区,1685977015.44
2013,龙泉区,3660000992.12
2013,冷江区,1992570442.4099998
2013,都江市,206201933.78
2013,原都区,929392238.0799998
2013,银堂县,928931954.95
2013,素江区,201879901.93
2013,成夏区,725429712.51
2013,蓝邑县,788922938.5
2013,莱州市,1010794552.6
2013,原津县,718476999.16
2013,江莱市,819329771.4799998
2013,团江县,379946399.32
2012,市本级,4002587935.8500013
2012,高新区,4601453663.940001
2012,排县,579212085.9099998
2012,拜州市,1813083070.1800003
2012,文侯区,393489868.24999994
2012,龙泉区,2537404240.06
2012,银堂县,462891103.78000003
2012,金马区,534614859.72
2012,原都区,222382472.03000003
2012,白江区,740417949.8000001
2012,单流县,2821188719.5299997
2012,原津县,640596819.8499999
2012,蓝邑县,267049294.82999998
2012,江莱市,874117909.59
2012,都江市,886721027.3600001
2012,成夏区,871317838.54
2012,冷江区,451173850.41999996
2012,团江县,249297909.67000002
2012,莱州市,296000957.12
2012,素江区,53155567.830000006
2016,龙泉区,28747869.0
2016,莱州市,6586.05
2016,原都区,33915.89
2016,市本级,16599.7
