性别,年龄段,会员分类,会员编号
0,3.0,2,6338
0,3.0,8,1604
0,3.0,6,433
0,3.0,3,264
0,3.0,7,165
0,3.0,4,58
0,3.0,1,45
0,3.0,5,8
0,2.0,2,5716
0,2.0,8,1251
0,2.0,6,195
0,2.0,3,145
0,2.0,7,59
0,2.0,4,11
0,2.0,1,9
0,2.0,5,1
0,4.0,2,4529
0,4.0,8,1509
0,4.0,6,500
0,4.0,3,285
0,4.0,7,205
0,4.0,4,75
0,4.0,1,62
0,4.0,5,12
0,5.0,2,1892
0,5.0,8,584
0,5.0,6,252
0,5.0,7,110
0,5.0,3,78
0,5.0,1,47
0,5.0,4,21
0,5.0,5,6
0,6.0,2,1303
0,6.0,8,438
0,6.0,6,225
0,6.0,7,112
0,6.0,1,54
0,6.0,3,49
0,6.0,4,23
0,6.0,5,10
0,7.0,2,494
0,7.0,8,135
0,7.0,6,96
0,7.0,7,51
0,7.0,1,24
0,7.0,3,17
0,7.0,4,7
0,7.0,5,2
0,1.0,2,476
0,1.0,8,59
0,1.0,3,14
0,1.0,6,3
0,1.0,7,2
0,8.0,2,105
0,8.0,8,38
0,8.0,6,17
0,8.0,7,9
0,8.0,1,4
0,9.0,2,5
0,9.0,8,1
0,10.0,8,1
1,3.0,2,4668
1,3.0,8,1007
1,3.0,6,269
1,3.0,3,153
1,3.0,7,92
1,3.0,1,26
1,3.0,4,22
1,3.0,5,7
1,4.0,2,3220
1,4.0,8,962
1,4.0,6,275
1,4.0,3,160
1,4.0,7,104
1,4.0,1,37
1,4.0,4,29
1,4.0,5,2
1,2.0,2,3873
1,2.0,8,653
1,2.0,6,106
1,2.0,3,67
1,2.0,7,30
1,2.0,4,9
1,2.0,1,7
1,2.0,5,1
1,5.0,2,1043
1,5.0,8,314
1,5.0,6,112
1,5.0,3,65
1,5.0,7,56
1,5.0,1,17
1,5.0,4,14
1,5.0,5,3
1,6.0,2,747
1,6.0,8,311
1,6.0,6,139
1,6.0,7,51
1,6.0,1,39
1,6.0,3,36
1,6.0,4,11
1,6.0,5,11
1,7.0,2,350
1,7.0,8,112
1,7.0,6,62
1,7.0,7,34
1,7.0,1,16
1,7.0,3,14
1,7.0,4,6
1,7.0,5,4
1,1.0,2,262
1,1.0,8,29
1,1.0,3,3
1,1.0,4,1
1,1.0,6,1
1,1.0,7,1
1,8.0,2,137
1,8.0,6,33
1,8.0,8,31
1,8.0,7,11
1,8.0,1,5
1,8.0,3,4
1,8.0,5,1
1,9.0,2,6
1,9.0,8,4
1,10.0,2,1
