年龄段,会员分类,性别
3.0,2,11371
3.0,8,2667
3.0,6,721
3.0,3,420
3.0,7,259
3.0,4,80
3.0,1,71
3.0,5,15
2.0,2,9968
2.0,8,1961
2.0,6,315
2.0,3,215
2.0,7,92
2.0,4,20
2.0,1,16
2.0,5,2
4.0,2,7945
4.0,8,2514
4.0,6,779
4.0,3,450
4.0,7,312
4.0,4,104
4.0,1,99
4.0,5,14
5.0,2,3023
5.0,8,909
5.0,6,371
5.0,7,168
5.0,3,143
5.0,1,65
5.0,4,35
5.0,5,9
6.0,2,2082
6.0,8,758
6.0,6,367
6.0,7,164
6.0,1,93
6.0,3,85
6.0,4,34
6.0,5,21
7.0,2,848
7.0,8,250
7.0,6,160
7.0,7,85
7.0,1,40
7.0,3,31
7.0,4,13
7.0,5,6
1.0,2,762
1.0,8,90
1.0,3,17
1.0,6,4
1.0,7,3
1.0,4,1
8.0,2,242
8.0,8,69
8.0,6,50
8.0,7,20
8.0,1,9
8.0,3,4
8.0,5,1
9.0,2,11
9.0,8,5
0.0,2,8
0.0,4,1
0.0,8,1
-96.0,2,1
-96.0,8,1
-1.0,2,1
-1.0,6,1
10.0,2,1
10.0,8,1
82.0,2,1
82.0,6,1
101.0,2,2
-795.0,2,1
-658.0,2,1
-629.0,8,1
-628.0,2,1
-609.0,8,1
-317.0,6,1
-309.0,2,1
-94.0,2,1
-2.0,6,1
22.0,8,1
23.0,8,1
37.0,6,1
81.0,2,1
91.0,2,1
